index,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,avg,city,Cluster
82,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.9999999999999999,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,2
83,0.75,1.0,0.75,1.0,0.75,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,2
84,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
85,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.6666666666666666,0.33333333333333337,0.5,0.5,0.25,0.6666666666666666,서울특별시 종로구,1
86,0.0,0.25,0.5,0.75,1.0,0.5,0.5,0.33333333333333337,0.9999999999999999,0.75,0.75,0.5,0.6666666666666666,서울특별시 종로구,1
87,1.0,1.0,0.75,0.75,0.75,0.5,1.0,0.6666666666666666,0.9999999999999999,0.75,0.5,0.5,0.6666666666666666,서울특별시 종로구,2
88,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.33333333333333337,0.33333333333333337,0.5,0.5,0.25,0.6666666666666666,서울특별시 종로구,1
89,0.75,0.5,0.75,0.75,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
90,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
91,0.75,1.0,0.75,0.75,0.5,0.75,0.75,0.6666666666666666,0.33333333333333337,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
92,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.25,0.6666666666666666,서울특별시 종로구,1
93,0.25,0.25,0.25,1.0,0.5,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.9999999999999999,서울특별시 종로구,1
94,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.5,0.75,0.33333333333333337,서울특별시 종로구,1
95,0.75,1.0,0.75,1.0,0.75,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,2
96,0.25,0.25,0.25,1.0,0.5,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.9999999999999999,서울특별시 종로구,1
97,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.33333333333333337,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,1
98,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.33333333333333337,0.9999999999999999,1.0,1.0,0.5,0.9999999999999999,서울특별시 종로구,2
99,0.75,1.0,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,0.6666666666666666,서울특별시 종로구,1
100,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.5,0.6666666666666666,서울특별시 종로구,1
101,0.75,1.0,0.75,0.75,1.0,0.75,1.0,0.9999999999999999,0.9999999999999999,0.75,1.0,0.5,0.6666666666666666,서울특별시 종로구,0
102,1.0,1.0,0.75,0.75,0.75,0.5,1.0,0.6666666666666666,0.9999999999999999,0.75,0.5,0.5,0.6666666666666666,서울특별시 종로구,2
103,1.0,0.75,0.5,0.75,0.75,1.0,0.75,0.9999999999999999,0.6666666666666666,1.0,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
104,0.75,0.75,0.5,1.0,0.75,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,2
105,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.33333333333333337,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,1
106,0.25,0.25,0.25,1.0,0.5,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.9999999999999999,서울특별시 종로구,1
107,0.75,0.5,0.25,0.75,0.75,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.25,0.6666666666666666,서울특별시 종로구,1
108,0.75,0.5,0.5,0.75,1.0,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,1
109,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9999999999999999,0.9999999999999999,0.5,1.0,1.0,0.9999999999999999,서울특별시 종로구,0
110,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,1.0,0.6666666666666666,서울특별시 종로구,2
111,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,서울특별시 종로구,0
112,1.0,0.5,0.75,0.75,1.0,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
113,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
114,0.5,0.5,1.0,0.75,0.75,0.5,0.5,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,서울특별시 중구,1
115,1.0,0.5,1.0,0.75,1.0,0.5,1.0,0.9999999999999999,0.9999999999999999,0.5,1.0,1.0,0.6666666666666666,서울특별시 중구,0
116,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.75,0.25,0.75,0.6666666666666666,서울특별시 중구,1
117,0.75,0.5,0.5,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 중구,1
118,0.75,1.0,0.75,0.75,0.5,0.75,0.75,0.6666666666666666,0.33333333333333337,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,2
119,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 중구,1
120,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0.6666666666666666,0.9999999999999999,0.5,0.75,1.0,0.6666666666666666,서울특별시 중구,2
121,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 중구,0
122,0.5,0.75,0.25,0.5,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,0.33333333333333337,서울특별시 중구,1
123,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.33333333333333337,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,1
124,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.6666666666666666,0.33333333333333337,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,1
