index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
20970,3235011078A_165040,4,4,3,2,4.0,4,4,3,4,4,3,5,2,4,서울특별시 종로구
6578,2504065037A_272428,4,4,3,3,4.0,5,3,4,4,4,3,3,4,4,서울특별시 종로구
9282,3116061088A_188805,5,5,5,5,5.0,5,3,5,5,5,3,5,5,5,서울특별시 종로구
9307,3117053033A_248201,4,4,4,4,4.0,4,4,4,4,4,3,4,5,4,서울특별시 종로구
9496,3119352146A_218872,5,5,5,5,5.0,5,3,5,5,5,5,5,5,4,서울특별시 종로구
21031,3304354024A_163560,4,5,3,4,4.0,5,4,4,5,4,4,4,5,4,서울특별시 종로구
13368,36310310111_310906,4,5,4,4,4.0,4,4,4,5,4,4,4,4,4,서울특별시 종로구
6784,2601060062A_214297,4,3,3,5,4.0,4,3,3,4,4,4,3,3,4,서울특별시 중구
7089,2602064106A_157347,4,5,3,5,4.0,5,3,5,5,5,3,5,5,5,서울특별시 중구
4775,2331011128A_94629,4,4,4,4,4.0,4,3,4,4,4,4,2,4,4,서울특별시 중구
3928,2303059116A_324876,4,4,3,3,4.0,4,3,4,4,4,3,3,4,3,서울특별시 중구
22077,31092700181_276761,4,4,5,4,4.0,3,4,4,4,3,4,4,4,4,서울특별시 중구
20399,2331031016A_345061,4,4,4,3,4.0,4,3,4,4,4,3,3,3,4,서울특별시 중구
4785,23310310071_94693,4,4,3,4,4.0,4,5,4,4,5,3,4,5,4,서울특별시 중구
17117,24030630221_123886,4,4,4,5,4.0,4,4,4,5,4,4,4,5,4,서울특별시 중구
10134,32030570091_18012,3,3,4,2,3.0,4,3,4,4,4,3,2,2,4,서울특별시 중구
4802,2331031024A_268964,4,4,3,4,4.0,4,3,4,4,3,3,4,4,4,서울특별시 중구
8177,3102152158A_14018,4,4,4,4,4.0,4,4,3,4,3,3,4,4,4,서울특별시 중구
9372,3119131143A_100044,4,4,4,5,4.0,4,4,4,4,5,4,4,4,4,서울특별시 중구
4820,23310350271_210972,4,5,3,5,4.0,4,4,5,4,4,3,5,4,4,서울특별시 중구
4782,23310310071_94673,4,3,3,4,4.0,5,3,4,4,4,4,5,4,4,서울특별시 중구
17103,2403051030A_37522,4,5,5,5,4.0,4,5,5,5,4,4,4,4,4,서울특별시 중구
4833,23310410191_326343,4,5,5,4,5.0,4,4,4,5,4,4,4,4,4,서울특별시 중구
4064,23050520341_121107,4,4,4,4,4.0,4,5,5,3,4,3,4,5,4,서울특별시 중구
4593,23080531501_152947,5,5,5,5,5.0,5,3,5,5,5,3,4,4,5,서울특별시 중구
14395,37380380441_52541,4,4,4,4,3.0,3,3,4,5,3,3,3,2,4,서울특별시 중구
12356,35020560251_137052,5,5,3,5,5.0,4,4,5,4,4,5,5,4,5,서울특별시 중구
4269,2305073063A_93278,4,5,4,5,4.0,4,5,4,4,5,4,4,4,4,서울특별시 중구
8025,31012541221_327499,5,3,3,4,5.0,5,3,3,3,3,3,3,3,4,서울특별시 중구
4218,23050640381_324090,4,5,3,4,4.0,4,4,4,3,4,3,4,4,4,서울특별시 중구
10949,3304455286A_308225,5,3,3,4,5.0,4,3,4,5,5,3,4,4,5,서울특별시 중구
21874,35020640291_167224,3,4,3,2,3.0,3,3,3,3,3,3,3,4,3,서울특별시 중구
9799,31250141441_73841,4,5,3,4,4.0,4,5,5,4,5,3,5,5,5,서울특별시 중구
21140,34060120821_223952,5,3,3,3,5.0,5,5,5,5,4,3,3,3,5,서울특별시 중구
4757,2331011092A_9135,4,3,5,4,4.0,4,5,5,4,4,3,4,4,4,서울특별시 중구
4110,23050540211_241616,4,5,5,4,4.0,5,5,4,5,4,3,3,3,4,서울특별시 중구
4095,23050531511_182509,4,5,4,5,4.0,4,4,5,4,5,4,5,4,4,서울특별시 중구
4082,2305052223A_153915,4,5,4,5,4.0,4,5,4,5,4,5,5,4,4,서울특별시 중구
20524,25030571961_186264,4,4,3,4,4.0,4,3,4,5,4,4,4,4,4,서울특별시 중구
4491,23070570771_123085,5,5,4,4,5.0,5,4,4,4,4,4,4,4,5,서울특별시 중구
4066,2305052094A_94359,4,5,3,4,4.0,4,3,5,5,5,3,4,4,5,서울특별시 중구
4773,2331011128A_94601,4,3,4,4,4.0,5,4,4,4,3,3,4,4,4,서울특별시 중구
21138,34050551181_137751,5,5,3,3,5.0,4,5,4,4,4,3,4,3,5,서울특별시 중구
18960,34050551181_137751,5,5,3,3,5.0,4,5,4,4,4,3,4,3,5,서울특별시 중구
10525,3304153048A_19143,4,5,5,3,4.0,4,5,4,4,4,3,3,3,4,서울특별시 중구
4825,23310370171_240073,4,3,3,4,4.0,4,3,3,4,4,3,3,4,4,서울특별시 중구
2589,2109070027A_238406,4,4,3,4,4.0,4,3,4,3,4,4,3,3,4,서울특별시 중구
2622,2109075104A_148027,4,3,3,4,4.0,3,3,3,3,4,4,3,3,4,서울특별시 중구
9483,31192622251_71517,4,4,3,4,4.0,4,4,4,4,3,4,4,4,4,서울특별시 중구
9882,31370111461_131576,4,4,4,4,4.0,4,3,4,4,4,3,4,4,4,서울특별시 중구
9052,31110540051_15854,4,5,5,4,4.0,4,3,5,5,4,4,4,5,4,서울특별시 중구
8466,3104255020A_14568,4,5,5,4,4.0,4,4,4,4,3,3,4,4,4,서울특별시 중구
18228,3110452007A_128845,4,4,4,4,4.0,4,3,4,4,4,3,3,4,4,서울특별시 중구
19433,36310310111_310906,4,5,4,4,4.0,4,4,4,5,4,4,4,4,4,서울특별시 중구
7427,2631014220A_184342,4,4,3,3,4.0,4,4,3,3,4,3,3,3,4,서울특별시 중구
9486,3119351046A_160931,4,4,4,5,4.0,4,4,4,3,4,4,4,4,4,서울특별시 중구
19333,3601051034A_22784,4,4,4,4,4.0,4,4,3,4,3,3,4,3,4,서울특별시 중구
21415,39010580841_55936,4,4,3,4,3.0,4,4,3,4,3,3,3,2,4,서울특별시 중구
18537,33030510791_306804,4,3,3,2,4.0,3,5,3,4,4,3,3,3,4,서울특별시 중구
18541,33030591221_47351,5,5,5,2,5.0,3,5,5,5,5,3,4,4,5,서울특별시 중구
